cycle_str,t_elapsed,unix_ts,cand_id,decode_success,sync_score,snr,llr_sd,ldpc_iters
251129_140245,12.961,1764424977.961,982,0,2.7615811824798584,-7,2.29197,0
251129_140245,12.964,1764424977.964,1004,0,2.928020477294922,-17,2.2061293,0
251129_140245,12.984,1764424977.984,1006,0,2.625271797180176,-17,2.201912,0
251129_140245,12.985,1764424977.985,1017,0,2.5224595069885254,-6,2.069345,0
251129_140245,12.959,1764424977.959,1032,0,2.4260473251342773,9,3.6528232,0
251129_140245,12.99,1764424977.99,1086,0,2.7578063011169434,3,2.0669172,0
251129_140245,12.992,1764424977.992,1144,0,2.4912586212158203,-15,2.0155756,0
251129_140245,13.0,1764424978.0,1136,0,2.536000967025757,-14,2.006665,0
251129_140245,12.962,1764424977.962,934,0,2.650972843170166,14,2.2113285,0
251129_140245,13.013,1764424978.013,1002,0,2.9852099418640137,-17,1.9366391,0
251129_140245,13.033,1764424978.033,968,0,3.004913806915283,-9,1.9111084,0
251129_140245,13.032,1764424978.032,997,0,2.5600781440734863,-18,1.9192091,0
251129_140245,13.031,1764424978.031,1085,0,3.2154033184051514,3,1.9988432,0
251129_140245,13.012,1764424978.012,1084,0,2.9004344940185547,3,1.9724739,0
251129_140245,13.035,1764424978.035,1000,0,3.7103512287139893,-18,1.8354175,0
251129_140245,13.013,1764424978.013,1005,0,3.0118281841278076,-18,2.0656817,0
251129_140245,13.037,1764424978.037,967,0,2.393385171890259,-3,1.8150798,0
251129_140245,13.036,1764424978.036,969,0,2.835585832595825,-9,1.8154882,0
251129_140245,13.894,1764424978.894,1145,0,2.325892210006714,-15,2.2888362,28
251129_140245,14.105,1764424979.105,915,0,2.499276638031006,-14,2.261748,37
251129_140245,14.203,1764424979.203,1099,1,4.554357528686523,0,4.078508,0
251129_140245,14.205,1764424979.205,1100,0,2.3781628608703613,0,3.5827477,0
251129_140245,14.203,1764424979.203,1098,1,5.146322727203369,0,4.0972967,0
251129_140245,14.208,1764424979.208,961,1,6.958000659942627,8,4.2285514,0
251129_140245,14.227,1764424979.227,986,1,6.950753688812256,-7,4.055535,1
251129_140245,14.229,1764424979.229,958,0,3.2753496170043945,8,3.5085797,0
251129_140245,14.209,1764424979.209,962,1,7.079744338989258,8,4.398953,0
251129_140245,14.245,1764424979.245,960,0,4.215367794036865,8,3.5116296,0
251129_140245,14.292,1764424979.292,1052,1,13.321160316467285,9,3.421527,0
251129_140245,14.355,1764424979.355,1153,1,6.27360200881958,-6,3.6312635,1
251129_140245,14.416,1764424979.416,984,0,2.7328765392303467,-7,3.34727,0
251129_140245,14.415,1764424979.415,987,1,5.3051581382751465,-7,3.5358672,1
251129_140245,14.276,1764424979.276,1034,0,2.9608728885650635,9,3.434772,0
251129_140245,14.451,1764424979.451,957,0,3.0980894565582275,8,3.285008,0
251129_140245,14.419,1764424979.419,1152,1,5.236494064331055,-6,3.3105404,0
251129_140245,14.475,1764424979.475,988,0,2.990370512008667,-6,3.2490916,0
251129_140245,14.56,1764424979.56,1151,0,2.478803873062134,-6,3.1680493,0
251129_140245,14.562,1764424979.562,990,0,2.3655474185943604,-7,3.1026824,0
251129_140245,14.532,1764424979.532,1036,1,6.7043657302856445,9,4.2147284,3
251129_140245,14.625,1764424979.625,1035,1,5.881059646606445,9,3.893539,3
251129_140245,14.565,1764424979.565,972,1,5.975818157196045,-9,3.087559,0
251129_140245,14.544,1764424979.544,1051,1,13.662689208984375,9,3.1863878,0
251129_140245,14.588,1764424979.588,1088,1,4.805290222167969,3,3.4055684,1
251129_140245,14.764,1764424979.764,942,0,10.391250610351562,14,2.9947176,0
251129_140245,14.873,1764424979.873,959,0,2.4827866554260254,8,2.9459035,0
251129_140245,14.755,1764424979.755,964,0,2.3992679119110107,8,3.0077202,0
251129_140245,14.969,1764424979.969,991,0,2.5372400283813477,-7,2.9296298,0
251129_140300,0.001,1764424980.001,1156,0,4.021209239959717,-6,2.8930466,0
251129_140245,14.99,1764424979.99,1068,1,6.686038970947266,-12,3.0684342,1
251129_140300,0.073,1764424980.073,985,1,5.738207817077637,-7,3.4709814,4
251129_140300,0.082,1764424980.082,989,0,2.928671360015869,-6,2.8143883,0
251129_140300,0.09,1764424980.09,963,1,4.548562049865723,8,3.436297,7
251129_140300,0.055,1764424980.055,1097,1,3.5633318424224854,0,3.4285092,5
251129_140300,0.081,1764424980.081,1089,1,3.709505796432495,3,3.1746194,4
251129_140300,0.192,1764424980.192,1155,0,2.7028613090515137,-6,2.6911397,0
251129_140300,0.19,1764424980.19,1008,0,6.455410480499268,-15,2.686073,0
251129_140300,0.191,1764424980.191,1159,0,3.0364420413970947,-6,2.719442,0
251129_140300,0.159,1764424980.159,937,0,3.0637810230255127,14,2.7268646,0
251129_140300,0.247,1764424980.247,1009,0,7.0817694664001465,-15,2.6348703,0
251129_140300,0.3,1764424980.3,941,0,9.332382202148438,13,2.630668,0
251129_140300,0.447,1764424980.447,936,0,2.478562116622925,14,2.5977592,0
251129_140300,0.459,1764424980.459,1154,1,4.645359516143799,-6,2.789557,2
251129_140300,0.446,1764424980.446,973,1,5.635549545288086,-9,2.7183614,2
251129_140300,0.522,1764424980.522,965,0,2.5853965282440186,8,2.5807226,0
251129_140300,0.628,1764424980.628,1049,0,2.3927245140075684,8,2.515304,0
251129_140300,0.55,1764424980.55,1039,0,3.3975846767425537,9,2.5566325,0
251129_140300,0.583,1764424980.583,1020,1,7.36038875579834,-6,3.0671396,4
