timestamp   		id   decoded  score   llr_sd   snr   n_its   time_in_decode
251127_172300_11.9 1784       0    2.70    2.43     5.0     0.0   0.000
251127_172300_11.9 1971       0    2.77    2.23   -18.0     0.0   0.001
251127_172300_11.9 1782       0    2.67    2.18     5.0     0.0   0.000
251127_172300_11.9 3046       0    2.53    2.07   -12.0     0.0   0.001
251127_172300_11.9 1750       0    2.71    2.05    -4.0     0.0   0.000
251127_172300_11.9 3047       0    3.37    1.92   -12.0     0.0   0.001
251127_172300_11.9 1783       0    2.93    1.92     5.0     0.0   0.001
251127_172300_11.9 2045       0    3.13    1.88   -19.0     0.0   0.001
251127_172300_11.9 2044       0    3.35    1.85   -19.0     0.0   0.000
251127_172300_11.9 3048       0    3.31    1.80   -12.0     0.0   0.001
251127_172300_11.9 2417       0    2.58    1.72   -12.0     0.0   0.001
251127_172300_11.9 2722       0    3.90    1.71   -13.0     0.0   0.002
251127_172300_11.9 2046       0    2.59    1.71   -18.0     0.0   0.001
251127_172300_11.9 2418       0    2.96    1.70   -12.0     0.0   0.001
251127_172300_12.2 1960       0    2.72    2.42   -18.0     0.0   0.001
251127_172300_12.3 2690       0    3.29    2.51    -9.0     0.0   0.002
251127_172300_12.3 2202       0    4.88    2.42     0.0     0.0   0.001
251127_172300_12.4 1961       0    2.93    2.31   -18.0     0.0   0.001
251127_172300_12.4 2689       0    3.26    2.41    -9.0     0.0   0.001
251127_172300_12.4 1929       0    2.51    1.86   -20.0     0.0   0.001
251127_172300_12.4 1963       0    3.18    2.25   -17.0     0.0   0.001
251127_172300_12.4 1964       0    3.74    2.18   -17.0     0.0   0.017
251127_172300_12.4 1965       0    3.00    2.09   -18.0     0.0   0.017
251127_172300_12.5 2241       0    2.51    2.03    11.0     0.0   0.000
251127_172300_12.5 2201       0    8.70    2.96     0.0     3.0   0.128
251127_172300_12.5 1927       0    2.90    1.91   -20.0     0.0   0.001
251127_172300_12.5 2897       0    2.76    1.90    -2.0     0.0   0.001
251127_172300_12.5 1769       0    2.54    1.83    -4.0     0.0   0.000
251127_172300_12.6 2200       1    9.45    3.20     0.0     1.0   0.023
251127_172300_12.6 2431       0    2.83    1.81   -11.0     0.0   0.001
251127_172300_12.6 1928       0    3.23    1.80   -20.0     0.0   0.000
251127_172300_12.7 1962       0    2.50    1.79   -17.0     0.0   0.000
251127_172300_12.7 1765       0    2.51    1.75    -4.0     0.0   0.003
251127_172300_12.8 2576       0    2.54    1.73   -17.0     0.0   0.000
251127_172300_13.4 2199       0    6.51    2.48     0.0    35.0   1.210
251127_172300_13.6 2899       0    2.53    1.71    -2.0    33.0   1.036
251127_172300_13.6 1794       1    5.30    3.41     5.0     0.0   0.002
251127_172300_13.6 1793       0    5.60    3.46     5.0     0.0   0.004
251127_172300_13.7 2701       1    6.31    2.96    -9.0     0.0   0.005
251127_172300_13.7 2137       1    3.17    3.78    -3.0     0.0   0.007
